,English,Bengala
159,-,—
160,karon,কারণ
161,dal,ডাল
162,jal,জাল
163,shorkari,সরকারি
164,proshno,প্রশ্ন
165,ese,এসে
166,dinaer,দিনের
167,shomosa,সমস্যা
168,hobar,হওয়ার
169,manush,মানুষ
170,jaan,যান
171,chesta,টেস্ট
172,haspaatale,হাসপাতালে
173,neita,নেতা
174,khoob,খুব
175,bari,বাড়ি
176,neowa,নেওয়া
177,fer,ফের
178,janiyechen,জানিয়েছেন
179,ekie,একই
180,diechhen,দিয়েছেন
181,tatae,তাতে
182,thakha,থাকা
183,ghotona,ঘটনায়
184,nana,নানা
185,ratae,রাতে
186,rajjaer,রাজ্যের
187,namei,নামেই
188,upour,উপর
189,zodi,যদি
190,koraiche,করছে
191,hiseib,হিসেবে
192,acche,যাচ্ছে
193,eto,এতো
194,chhobi,ছবি:
195,bhote,ভয়ে
196,bijepi,বিজেপি
197,zetoe,যেতে
198,bolechein,বলছেন
199,bochore,বছরে
200,deye,দেয়
201,dophtore,দফতরে
202,choleche,চলছে
203,khetre,ক্ষেত্রে
204,char,ছাড়
205,prodhan,প্রধান
206,sohore,শহরে
207,jawar,যাওয়ার
208,gereftar,গ্রেফতার
209,dooti,দুটি
210,shomoye,সময়ে
211,kolkata,কলকাতা
212,sheta,সেটা
213,shorkarer,সরকারের
214,jailar,জেলার
215,siddhanto,সিদ্ধান্ত
216,bashanda,বাসিন্দা
217,vola,ভোলা
218,ke,কী
219,ghotonar,ঘটনায়
220,nirdesh,নির্দেশ
221,nite,নিতে
222,kom,কম
223,desher,দেশের
224,jokhon,যখন
225,prarothi,প্রার্থী
226,kendriyo,কেন্দ্রীয়
227,manuser,মানুষের
228,diyeche,দিয়েছে
229,lokho,লক্ষ
230,haat,হাট
231,nombour,নম্বর
232,mukkhomontri,মুখ্যমন্ত্রী
233,holeo,হলেও
234,parein,পারেন
235,korme,কর্মী
236,dot, •
237,paoa,পাওয়া
238,prouti,প্রতি
239,takar,টাকার
240,jeno,যেন
241,gramer,গ্রামের
242,uttor,উত্তর:
243,dekhte,দেখতে
244,boho,বহু
245,pey,পেয়ে
246,shutrer,সূত্রের
247,ageai,আগেই
248,jodio,যদিও
249,muke,মুখে
250,panchayet,পাঞ্চেত
251,vishioyti,বিষয়টি
252,boktobbo,বক্তব্য—
253,bharotio,ভারতীয়
254,songsthar,সংস্থার
255,badite,বাড়তি
256,vishesh,বিশেষ
257,panch,পাঁচ
258,shadharon,সাধারণ
259,chharha,ছাড়া
260,pasapasi,পাশাপাশি
261,aita,এটা
262,sale,সালে
263,hon,হোন
264,sukrobar,শুক্রবার
265,koty,কোটি
266,rashta,রাস্তা
267,shompadok,সম্পাদক
268,shonibar,শনিবার
269,rokam,রকম
270,jog,যোগ
271,congresser,কংগ্রেসের
272,budhbar,বুধবার
273,janiechhe,জানিয়েছে
274,somvar,সোমবার
275,badot,ভারত
276,robivar,রবিবার
277,vareter,ভারতের
278,mongalbar,মঙ্গলবার
279,cipiem,সিপিএম
280,kaze,কাজে
281,raka,রাখা
282,gotaa,গোটা
283,baire,বাইরের
284,zaoa,যাওয়া
285,korechhilen,করেছিলেন
286,zamon,যেমন
287,vrihospotivar,বৃহস্পতিবার
288,poribarer,পরিবারের
289,bidhaek,বিধায়ক
290,shokale,সকালে
291,jatiyo,জাতীয়
292,maumota,মমতা
293,opore,ওপরে
294,rae,রায়
295,boshe,বশে
296,ma,মা
297,gari,গাড়ি
298,torophe,তরফে
299,doftor,দফতরকে
300,boltae,বলতে
301,prakton,প্রাক্তন
302,baba,বাবা
303,sipiemer,সিপিএমের
304,kokhono,কখনও
305,janiye,জানিয়ে
306,sodossho,সদস্য
307,choto,ছোটে
308,mash,মাস
309,bolen,বলেন
310,rat,রাত
311,jayegaye,জায়গায়
312,vishoye,বিষয়
313,aiktu,একটু
314,poreyi,পরেই
315,voter,ভোটের
316,comiteer,কমিটির
317,ase,আসে
318,jonee,জমি
319,mukh,মুখ
320,thanar,থানার
321,chaloo,চালু
322,joma,জমা
323,somvob,সঙ্ঘ
324,agaami,আগামী
325,poristhiti,পরিস্থিতিতে
326,ghoshona,ঘোষণা
327,firae,ফিরে
328,prarthomik,প্রাথমিক
329,gelye,গেলে
330,mrittu,মৃত
331,rajnitigyo,রাজনৈতিক
332,purosovar,পুরসভার
333,pujo,পুজো
334,jate,জটে
335,grame,গ্রামে
336,janaano,জানানো
337,barir,বাড়ির
338,uddhdar,উদ্ধার
339,pase,পাশে
340,bebohar,ব্যবহারে
341,bhenge,ভেঙে
342,skul,স্কুল
343,nijyeder,নিজেদের
344,kendro,কেন্দ্রও
345,tothoh,তথা
346,pothae,পথে
347,songya,সংস্থা
348,montri,মন্ত্রী
349,matro,মাত্রা
350,jaante,জানতে
351,bolechhen,বলছেন
352,thakhbe,থাকবে
353,shikhkhok,শিক্ষক
354,korlin,করলেন
355,oothe,উঠে
356,mohila,মহিলা
357,sokal,সকাল
358,shinho,সিংহ
359,rastae,রাস্তায়
360,dhorha,ধরা
361,graam,গ্রাম
362,hoa,হওয়া
363,proshasener,প্রশাসনের
364,rekhe,রেখে
365,moddhei,মধ্যেই
366,ekhene,এখানে
367,prosrhashon,প্রশাসন
368,naagaad,নাগাদ
369,bhorti,ভর্তি
370,korbe,করবে
371,suyog,সুযোগ
372,somproti,সম্প্রতি
373,maate,মাঠে
374,mach,মাছ
375,poojor,পুজোর
376,vyapare,ব্যাপারে
377,dokshin,দক্ষিণ
378,dilen,দিলেন
379,korben,করবেন
380,kaaronei,কারণে
381,vidhanshobha,বিধানসভা
382,rajjae,রাজ্যে
383,modi,মোদী
384,blok,ব্লক
385,skuler,স্কুলের
386,asha,আশা
387,thakte,থাকতে
388,dhoronyer,ধরনের
389,todonto,তদন্তও
390,cormider,কর্মীদের
391,kolkaatar,কলকাতার
392,takae,টাকায়
393,ditiyo,দ্বিতীয়
394,seye,ছেয়ে
395,note,নোট
396,shashto,স্বাস্থ্য
397,kono,কোনও
398,chele,ছেলে
399,kolej,কলেজ
400,druto,দ্রুত
401,chatro,ছাত্র
402,menae,মেনে
403,rakhte,রাখতে
404,dayityo,দায়িত্ব
405,aelakla,এলাকা
406,royeochhen,রয়েছেন
407,mathay,মাথায়
408,virodhhi,বিরোধী
409,korol,করল
410,bolei,বলেই
411,bondopaddhyaye,বন্দ্যোপাধ্যায়
412,zar,যার
413,uthechhe,উঠেছে
414,torir,তৈরির
415,phone,ফোনে
416,vaki,বাকি
417,kichuta,কিছুটা
418,giyechilo,গিয়েছিল
419,othocho,অথচ
420,neoyar,নেওয়ার
421,onekei,অনেকেই
422,hoak,হোক
423,dine,ডাইন
424,aegiye,এগিয়ে
425,neme,নেমে
426,chhede,ছেড়ে
427,naaki,নাকি
428,porikhsa,পরীক্ষা
429,somitir,সমিতির
430,supar,সুপার
431,thakar,থাকার
432,thanaye,থানায়
433,ghore,ঘরে
434,boithoke,বৈঠক
435,kothoao,কথাও
436,eshese,এসেছে
437,zore,ঝড়ে
438,korlae,করলে
439,adalat,আদালত
440,das,দাশ
441,shashok,শাসক
442,bajare,বাজারে
443,khoroch,খরচ
444,montobbo,মন্তব্যও
445,purano,পুরানো
446,totto,তত্ত্ব
447,bikri,বিক্রি
448,joner,জনের
449,hoyechen,হয়েছেন
450,kajer,কাজের
451,somosto,সমস্ত
452,ashpataal,হাসপাতাল
453,prokas,প্রকাশ
454,thakay,থাকায়
455,vashindader,বাসিন্দাদের
456,jayeni,যায়নি
457,koekti,কয়েকটি
458,bank,ব্যাঙ্কে
459,korechilo,করেছিল
460,apnar,আপনার
461,bazare,বাজারে
462,sonkha,সংখ্যা
463,kortoripokkho,কর্তৃপক্ষ
464,deshe,দেশে
465,moate,মতে
466,rastar,রাস্তার
467,bus,বাস
468,ekaodhik,একাধিক
469,maamla,মামলা
470,snaan,চান
471,karou,কারও
472,emonki,এমনকি
473,othe,ওঠে
474,obosthay,অবস্থায়
475,thakle,থাকলে
476,sotanksho,শতাংশ
477,ghosh,ঘোষ
478,beriye,বেড়িয়ে
479,uchit,উচিৎ
480,baam,বাম
481,howae,হওয়ায়
482,prothome,প্রথমে
483,haspataler,হাসপাতালের
484,bail,রেল
485,jekhane,যেখানে
486,prodhanmontri,প্রধানমন্ত্রী
487,alochona,আলোচনা
488,pokkhe,পক্ষে
489,jelay,জেলায়
490,bodolae,বদলে
491,nirbachon,নির্বাচন
492,aager,আগের
493,kendrer,কেন্দ্রের
494,poreo,পড়েও
495,shaler,সালের
496,amaake,আমাকে
497,bloker,ব্লকের
498,abedon,আবেদন
499,diil,দিল
500,jayegaa,জায়গা
501,khun,খুন
502,ashaa,আশা
503,fele,ফেলে
504,sheshe,শেষে
505,skule,স্কুলে
506,path,পাঠ
507,kolkatar,কলকাতার
508,hajir,হাজিরা
509,badi,বাড়ি
510,tolaa,তোলা
511,ananto,অন্তত
512,dhooke,ঢুকে
513,proyojon,প্রয়োজন
514,hoito,হয়তো
515,mase,মাসে
516,bijepir,বিজেপির
517,asen,আছেন
518,phol,ফল
519,janaye,জানায়
520,danriye,দাঁড়িয়ে
521,kouto,কৌটো
522,obostha,অবস্থা
523,maddhome,মাধ্যম
524,kanch,কাছ
525,basindara,বাসিন্দারা
526,kothae,কোথায়
527,dorkar,দরকার
528,vishaas,বিশ্বাস
529,onnotomo,অন্যতম
530,puroushoba,পুরসভা
531,poreose,পড়েছে
532,kharap,খারাপ
533,dieichhilen,দিয়েছিলেন
534,ishtri,স্ত্রী
535,cholese,চলেছে
536,oneke,অনেকে
537,zara,ঝাড়া
538,shongothoner,সংগঠনের
539,cha,চা
540,alada,আলাদা
541,daam,দাম
542,pousoe,পৌঁছে
543,vabei,ভাবেই
544,sahajjo,সাহায্য
545,gaan,গান
546,doliio,দলীয়
547,shohor,শহর
548,thaken,থাকেন
549,geyechhen,গিয়েছেন
550,asar,আসার
551,chai,ছাই
552,sposhto,স্পষ্ট
553,temon,তেমন
554,bhota,ভোঁতা
555,daanyer,দায়ের
556,shara,সারা
557,kormira,কর্মীরাও
558,hata,হাতা
559,onksho,অংশ
560,ponchaet,পঞ্চায়েতের
561,purvo,পূর্ব
562,asole,আসলে
563,aatke,আঁতকে
564,mora,মরা
565,voleu,বলেও
566,peichhone,পিছনে
567,moshul,মণ্ডল
568,ghounta,ঘণ্টা
569,khuner,খুনের
570,dole,ঢলে
571,jubok,যুবক
572,miliiye,মিলিয়ে
573,deek,দিক
574,aarthik,আর্থিক
575,kotiye,খতিয়ে
576,sune,শুনে
577,komiti,কমিটি
578,deho,দেহ
579,somporko,সর্ম্পক
580,lok,লোক
581,meye,মে
582,patano,পাঠানো
583,ghoore,ঘুরে
584,banker,ব্যাঙ্কের
585,kori,কড়ি
586,karta,কর্তাও
587,porisheowa,পরিষেবা
588,thakhleo,থাকলেও
589,motei,মতেই
590,porikolpna,পরিকল্পনা
591,unnoyon,উন্নয়ন
592,mul,মূল
593,rakhaar,রাখার
594,sare,সারে
595,medikaal,মেডিক্যাল
596,onuzai,অনুযায়ী
597,niyom,নিয়ম
598,ekangsho,একাংশ
599,viswovidhyaloyer,বিশ্ববিদ্যালয়ের
600,besarkari,বেসরকারি
601,colejer,কলেজের
602,sobeche,সবচেয়ে
603,aor,ওর
604,jude,জুড়ে
605,paa,পা
606,bangala,বাংলা
607,onushthane,অনুষ্ঠানে
608,porer,পরের
609,khojh,খোঁজ
610,vul,ভুল
611,agun,আগুনে
612,aapni,আপনি
613,goreo,গড়ে
614,ashte,আসতে
615,prokolper,প্রকল্পের
616,parenni,পারেননি
617,non,নন
618,jogajog,যোগাযোগ
619,dilli,দিল্লি
620,dupure,দুপুরে
621,khaila,খেলা
622,netaader,নেতাদের
623,shavabik,স্বাভাবিক
624,ghire,ঘিরে
625,songsod,সংসদ
626,giyechilen,গিয়েছিলেন
627,homla,হামলা
628,jonnoi,জন্যই
629,ovijukto,অভিযুক্ত
630,saat,সাত
631,sobai,সবাই
632,ashonka,আশঙ্কা
633,niyeii,নিয়েই
634,jaler,জলের
635,otirikto,অতিরিক্ত
636,poribaar,পরিবার
637,prchaar,প্রচার
638,pan,প্যান
639,ashche,আসছে
640,guli,গুলি
641,ketee,কেটে
642,ailo,এল
643,palta,পাল্টা
644,teentii,তিনটি
645,shiksha,শিক্ষা
646,diccihe,দিচ্ছে
647,lekha,লেখা
648,orra,ওঁরা
649,biye,বেয়ে
650,deve,দেবে
651,kriket,ক্রিকেট
652,norendro,নরেন্দ্র
653,aain,আইন
654,onusthan,অনুষ্ঠান
655,sheskh,শেখ
656,majhe,মাঝে
657,dirgho,দীর্ঘ
658,netaera,নেতারা
659,joto,যত
660,bolese,বলেছে
661,kal,কাল
662,obhijoge,অভিযোগে
663,apatoto,আপাতত
664,cheyarman,চেয়ারম্যান
665,bujhte,বুঝতে
666,prokolpo,প্রকল্প
667,markin,মার্কিন
668,chithi,চিঠি
669,vir,ভিড়
670,mohkuma,মহকুমা
671,bidyut,বিদ্যুত্‌
672,podte,পড়তে
673,pareni,পারেনি
674,itimodhyei,ইতিমধ্যেই
675,riport,রিপোর্ট
676,gelain,গেলেন
677,jor,জোড়
678,kobor,করব
679,uposthit,উপস্থিতিতে
680,pete,পেটে
681,poshchim,পশ্চিম
682,mukhyomontrir,মুখ্যমন্ত্রীর
683,power,পাওয়ার
684,dhorei,ধরেই
685,haarie,হারিয়ে
686,guruttopurno,গুরুত্বপূর্ণ
687,sova,সভা
688,odhikar,অধিকার
689,songhoton,সংগঠন
690,myache,ম্যাচে
691,duto,দুটো
692,vag,ভাগ
693,coach,কোচ
694,borom,বরং
695,joat,জোট
696,koreyi,করেই
697,oder,ওঁদের
698,maardhour,মারধর
699,kortara,কর্তারা
700,midnapore,মেদিনীপুর
701,teem,টিম
702,nojor,নজর
703,kichui,কিছুই
704,dokan,দোকান
705,nirapot,নিরাপত্তা
706,ortho,অর্থ
707,porishoder,পারিষদের
708,mukhopaddhay,মুখোপাধ্যায়ের
709,pooro,পুর
710,chokhhe,চোখে
711,daikhar,দেখার
712,chakrovorti,চক্রবর্তী
713,neerdishto,নির্দিষ্ট
714,run,রান
715,shorshori,সরাসরি
716,akjon,একজন
717,ayojona,আয়োজন
718,joruri,জরুরি
719,prostav,প্রস্তাব
720,jonke,জনকে
721,parben,পারবেন
722,bikkihov,বিক্ষোভ
723,jobab,জবাব
724,netrutovo,নেতৃত্ব
725,kotota,কতটা
726,niyeo,নিয়েও
727,podeo,পড়ে
728,dichhein,দিচ্ছেন
729,shami,শামি
730,mrittur,মৃতার
731,podokkhep,পদক্ষেপকে
732,bhottacharjo,ভট্টাচার্য
733,dineii,দিনই
734,ghor,ঘোর
735,neen,নেন
736,chiketsak,চিকিৎসক
737,voy,ভয়
738,dure,দূরে
739,kilometer,কিলোমিটার
740,baddho,বাধ্য
741,michila,মিছিল
742,tren,ট্রেন
743,officer,অফিসার
744,chap,চাপ
745,koroon,করুন
746,eke,এঁকে
747,laage,লাগে
748,parichit,পরিচিত
749,diyesilo,দিয়েছিল
750,lorai,লড়াই
751,janaalen,জানালেন
752,khan,খান
753,kimba,কিংবা
754,niyeche,নিয়েছে
755,proman,প্রমাণ
756,maser,মাছের
757,football,ফুটবল
758,prochur,প্রচুর
759,somosyar,সমস্যার
760,matha,মাথা
761,humki,হুমকি
762,Bangaladesh,বাংলাদেশ
763,asshash,আশ্বাস
764,niyechen,নিয়েছেন
765,karyoto,কার্যত
766,dosh,দোষ
767,khoba,ক্ষোভ
768,barbar,বারবার
769,shera,সেরা
770,lagoa,লাগোয়া
771,chalie,চালিয়ে
772,ghotheche,ঘটেছে
773,sotteo,সত্ত্বেও
774,ana,আনা
775,pulishke,পুলিশকে
776,jongi,জঙ্গি
777,dev,দেব
778,bishoy,বিষয়
779,sobhaye,সভায়
780,sarao,ছাড়াও
781,sona,শোনা
782,korchhi,করছি
783,samparko,সম্পর্ক
784,bivager,বিভাগের
785,barer,বারের
786,logjon,লোকজন
787,cholhbe,চলবে
788,holen,হলেন
789,niyomito,নিয়মিত
790,debain,দেবেন
791,rahul,রাহুল
792,varote,ভারতে
793,poribesh,পরিবেশে
794,razi,রাজি
795,pak,পাক
796,khushi,খুশি
797,ghorer,ঘরের
798,kottripokkher,কর্তৃপক্ষের
799,vaadha,বাধা
800,janaachhen,জানাচ্ছেন
801,koresi,করেছি
802,shekhan,সেখান
803,odaloter,আদালতের
804,hishebe,হিসাবে
805,line,লাইনে
806,ver,বের
807,ophish,অফিস
808,shetai,সেটাই
809,ghate,ঘাঁটি
810,zotheshto,যথেষ্ট
811,sobir,ছবির
812,zokhom,জখম
813,ette,এতে
814,ekangsher,একাংশের
815,bikele,বিকেলে
816,dhakhka,ধাক্কা
817,pratiti,প্রতিটি
818,garir,গাড়ির
819,pokkho,পক্ষ
820,janen,জানেন
821,obo,অব
822,hothat,হঠাৎ
823,jukto,যুক্ত
824,chottopaddhay,চট্টোপাধ্যায়
825,todonte,তদন্তে
826,khola,খোলা
827,shromik,শ্রমিক
828,taimoni,তেমনই
829,kemon,কেমন
830,shoriye,সরিয়ে
831,bolechilen,বলেছিলেন
832,bebsayi,ব্যবসায়ী
833,bangaladesher,বাংলাদেশের
834,gola,গোলা
835,sekhanei,সেখানেই
836,thana,খানা
837,maane,মানে
838,mon,মন
839,toolte,তুলতে
840,somvabona,সম্ভাবনা
841,sonkranto,সংক্রান্ত
842,kendre,কেন্দ্রে
843,shomae,সময়ের
844,okranto,আক্রান্ত
845,khoole,খুলে
846,vatil,বাতিল
847,lokshyo,লক্ষ্য
848,nischit,নিশ্চিত
849,bebsha,ব্যবসা
850,emonoi,এমনই
851,nije,নিজে
852,ghothonati,ঘটনাটি
853,chae,চায়ে
854,dokol,দখল
855,bhitore,ভিতরে
856,malik,মালিক
857,poren,পড়েন
858,luv,লাভ
859,mobile,মোবাইল
860,neye,নেয়
861,ovizan,অভিযান
862,choukh,চোখ
863,meyar,মেয়র
864,te,টে
865,koleje,কলেজে
866,shondyaye,সন্ধ্যায়
867,mot,মত
868,kauke,কাউকে
869,tobu,তবু
870,card,কার্ড:
871,nirbachone,নির্বাচনে
872,khelar,খোলার
873,dotto,দত্ত
874,jibon,জীবন
875,bol,বল
876,dey,দেয়
877,virat,বিরাট
878,jani,জানি
879,dily,দিলে
880,haar,হার
881,dabite,দাবিতে
882,aalo,আলু
883,thekeyo,থেকেও
884,shishu,শিশু
885,othol,উঠল
886,vordhoman,বর্ধমান
887,antorjatik,আন্তর্জাতিক
888,krishi,কৃষি
889,shirhsho,শীর্ষ
890,jari,জারি
891,comishaner,কমিশনের
892,kalo,কালু
893,karoaneyi,কারণেই
894,shrenir,শ্রেণির
895,choriye,চড়িয়ে
896,bahini,বাহিনী
897,chaisen,চাইছেন
898,road,রোড
899,board,বোর্ড
900,talikaye,তালিকায়
901,poriman,পরিমান
902,ainjivi,আইনজীবী
903,cholti,চলতি
904,jilashashok,জেলাশাসক
905,gurutob,গুরুত্ব
906,joy,জয়
907,ekebare,একেবারে
908,sanslishto,সংশ্লিষ্ট
909,deke,ডেকে
910,tolar,তোলার
911,club,ক্লাব
912,minute,মিনিটে
913,probhav,প্রভাব
914,jole,জলই
915,reler,রেলের
916,kotin,কঠিন
917,anumoti,অনুমতি
918,korenni,করেননি
919,protibad,প্রতিবাদ
920,chowdhuri,চৌধুরী
921,podun,পড়ুন:
922,tulonaye,তুলনায়
923,aisechilen,এসেছিলেন
924,khoti,ক্ষতি
925,pash,পাশ
926,hochhillo,হচ্ছিল
927,tana,টানে
928,khelte,খেলতে
929,eshesen,এসেছেন
930,chalaano,চালানো
931,siligudi,শিলিগুড়ি
932,biman,বিমান
933,tokhonoi,তখনই
934,kome,কমে
935,nosto,নষ্ট
936,aphise,অফিসে
937,vaarta,বার্তা
938,onyanya,অন্যান্য
939,moohurto,মুহূর্তে
940,doojon,দুজন
941,sokaleyi,সকলেই
942,mayer,মায়ের
943,arthat,অর্থাৎ
944,chaiche,চাইছে
945,pad,প্যাড
946,bhai,ভাই
947,station,স্টেশন
948,maile,মেলে
949,jara,যারা
950,korten,করতেন
951,chikitsa,চিকিত্সা
952,shikar,শিকার
953,of,অফ
954,udyoge,উদ্যোগে
955,bangalar,বাংলার
956,parbe,পারবে
957,klaber,ক্লাবের
958,melainei,মেলেনি
959,desembar,ডিসেম্বর
960,opor,উপুড়
961,laal,লাল
962,mohommad,মহম্মদ
963,voi,বই
964,opeksha,অপেক্ষা
965,uthtte,উঠতে
966,baad,বাদ
967,brishti,বৃষ্টি
968,bicharpoti,বিচারপতির
969,khabar,খাবার
970,tikit,টিকিট
971,kartader,কর্তাদের
972,niyantran,নিয়ন্ত্রণ
973,nijeike,নিজেকে
974,barche,বাড়ছে
975,vittite,ভিত্তিতে
976,etayi,এটাই
977,meyer,মেয়ের
978,todonter,তদন্তের
979,macher,ম্যাচের
980,doftoore,দফতরে
981,dillir,দিল্লির
982,kariye,করিয়ে
983,hamlar,হামলার
984,chas,চাষ
985,korleo,করলেও
986,pakistan,পাকিস্তান
987,councilor,কাউন্সিলের
988,korao,করাও
989,modir,মোদীর
990,ageo,আগেও
991,bere,বেড়ে
992,zeto,যেতে
993,ason,আসন
994,shilpi,শিল্পী
995,dekhiye,দেখিয়ে
996,pode,পড়ে
997,paben,পাবেন
998,janaate,জানাতে
999,thakse,থাকছে
1000,gusthir,গোষ্ঠীর
1001,aat,আট
1002,november,নভেম্বরে
1003,khethe,খেতে
1004,kumar,কুমার
1005,pichiye,পিছিয়ে
1006,nodeer,নদীর
1007,vosu,বসু
1008,peyechhe,পেয়েছে
1009,tritiyo,তৃতীয়
1010,mulot,মূলত
1011,porishkar,পরিষ্কার
1012,president,প্রেসিডেন্ট
1013,naitar,নেতার
1014,door,দূর
1015,tarpar,তারপর
1016,neeche,নীচে
1017,zukti,যুক্তি
1018,boyos,বয়েস
1019,ekmatro,একমাত্র
1020,comission,কমিশন
1021,khuje,খুঁজে
1022,bojha,বোঝা
1023,pal,পাল
1024,sheyaar,শেয়ার
1025,ferar,ফেরার
1026,beshir,বেশির
1027,duskritora,দুষ্কৃতীরা
1028,korano,করানো
1029,samosyaye,সমস্যায়
1030,gombhir,গভীর
1031,manushke,মানুষকে
1032,beaini,বেআইনি
1033,yatri,যাত্রী
1034,proshasonik,প্রশাসনিক
1035,asbe,আসবে
1036,khomota,ক্ষমতা
1037,uthse,উঠছে
1038,chaakri,চাকরি
1039,ooni,উনি
1040,phiriye,ফিরিয়ে
1041,jomir,জমির
1042,sena,সেনা
1043,padi,পারি
1044,vidio,ভিডিও:
1045,chalok,চালক
1046,onektaie,অনেকটাই
1047,abhijoger,অভিযোগের
1048,nirbachoner,নির্বাচনের
1049,prokashyo,প্রকাশ্যে
1050,bhumika,ভুমিকা
1051,pakistanair,পাকিস্তানের
1052,vortoman,বর্তমান
1053,januaary,জানুয়ারি
1054,somorthon,সমর্থন
1055,zomite,জমিতে
1056,shubidha,সুবিধা
1057,sondeho,সন্দেহ
1058,koyekjon,কয়েকজনকে
1059,ahoto,আহত
1060,likhito,লিখিত
1061,pay,পে
1062,mumbai,মুম্বই
1063,songei,সঙ্গেই
1064,viket,উইকেট
1065,gonisto,ঘনিষ্ঠ
1066,geleo,গেলেও
1067,prokolpe,প্রকল্পে
1068,manche,মঞ্চে
1069,prochare,প্রচারে
1070,mamlar,মামলার
1071,nijeyi,নিজেই
1072,paramarsho,পরামর্শ
1073,berese,বেড়েছে
1074,biier,বিয়ের
1075,shamanyo,সামান্য
1076,jivoner,জীবনে
1077,bon,বোন
1078,koraai,করায়
1079,peyechen,পেয়েছেন
1080,aine,আইনে
1081,motooi,মতোই
1082,dekhen,দেখেন
1083,sobite,ছবিতে
1084,bondhyopadhyaye,বন্দ্যোপাধ্যায়ের
1085,jini,যিনি
1086,bissho,বিশ্ব
1087,osushtho,অসুস্থ
1088,vortomane,বর্তমানে
1089,goutam,গৌতম
1090,mati,মাটি
1091,aali,আলি
1092,vela,বেলা
1093,sohoj,সহজ
1094,shombadik,সাংবাদিক
1095,koreni,করেনি
1096,dhaan,ধান
1097,gach,গাছ
1098,virodhider,বিরোধীদের
1099,dufur,দুপুর
1100,unnayaner,উন্নয়নের
1101,jonmo,জন্ম
1102,uustov,উৎসব
1103,dheere,ধীরে
1104,bagan,বাগান
1105,naai,নাই
